,TERTIAIRE,INDUSTRIE,AGRICULTURE,INCONNU,departement,year
363,314904.396,52594.475,7887.081,242.297,83,2021
364,187193.781,78076.001,8372.36,0.453,84,2021
365,193558.19,136277.453,8225.983,129.53799999999998,85,2021
366,186142.195,80476.955,908.966,169.80700000000002,86,2021
367,169347.007,76661.414,613.0830000000001,0.342,87,2021
368,206322.765,284067.187,1975.08,28.744,88,2021
369,94081.944,175732.355,6740.915,4.176,89,2021
370,52984.581,56424.568,1611.663,0.0,90,2021
371,835421.098,314158.793,1710.46,132.728,91,2021
372,2514679.635,603239.802,246.94799999999998,807.456,92,2021
373,1902883.251,385552.802,785.077,375.999,93,2021
374,1346159.296,397837.502,99.762,370.51,94,2021
375,712300.89,238322.637,1611.105,226.231,95,2021
376,798960.636,1127747.415,41091.4,354.136,01,2022
377,514949.736,740340.2660000001,40963.708,74.791,02,2022
378,433968.526,400823.539,29281.509,27.587,03,2022
379,245332.533,112685.816,15216.437,0.0,04,2022
380,328681.55,46575.458,4625.852,38.97,05,2022
381,2095865.552,384770.516,2206.089,3692.964,06,2022
382,329683.85599999997,403901.426,4531.058,312.356,07,2022
383,220921.563,486926.543,10931.829,50.248,08,2022
384,146761.167,86512.966,3220.936,69.126,09,2022
385,433309.844,487471.72599999997,40214.341,4.865,10,2022
386,481413.81799999997,219977.113,17578.51,28.519,11,2022
387,288016.156,306014.815,18257.338,24.47,12,2022
388,3197405.58,1198970.058,72039.269,531.82,13,2022
389,945289.747,875784.897,23698.805,636.368,14,2022
390,143892.47,154674.13,3292.073,0.0,15,2022
391,416818.697,482421.792,37821.904,0.0,16,2022
392,823647.623,326134.469,70635.399,169.602,17,2022
393,377570.385,285901.825,35519.685,80.783,18,2022
394,313931.084,283773.474,1442.479,102.13499999999999,19,2022
395,764465.242,667681.529,18365.407,102.92699999999999,21,2022
396,712666.792,796631.385,200213.937,48.795,22,2022
397,91055.28199999999,96405.55900000001,3781.241,0.0,23,2022
398,475373.216,304128.452,35084.791,187.33700000000002,24,2022
399,604700.422,749205.214,11080.567000000001,44.009,25,2022
400,762916.066,703013.46,57021.090000000004,56.974,26,2022
401,705715.429,857438.929,25737.911,163.08499999999998,27,2022
402,375217.419,445880.152,111360.201,124.934,28,2022
403,1098300.671,899206.633,260710.04200000002,348.33,29,2022
404,812491.698,461446.571,32626.181,238.602,30,2022
405,2106519.452,780707.77,18813.552,140.8,31,2022
406,242665.695,126027.224,59368.748999999996,34.726,32,2022
407,2320395.0,913193.598,182620.022,188.089,33,2022
408,1563619.776,410430.21499999997,33490.267,44.183,34,2022
409,1468726.305,1425017.281,72338.312,88.912,35,2022
410,241623.916,359548.817,14252.269,10.952,36,2022
411,785554.578,470236.108,94380.351,99.344,37,2022
412,1561423.99,1558373.455,26820.311999999998,365.204,38,2022
