,department,year,consumption_per_resident
174,82,2018,0.10381558050514307
175,83,2018,0.5277480914159615
176,84,2018,0.1952568791543971
177,85,2018,0.09998993761597506
178,86,2018,0.1494213403938366
179,87,2018,0.22461908509089737
180,88,2018,0.10324516038938392
181,89,2018,0.13466294139408333
182,90,2018,0.18064977688722147
183,91,2018,0.4268626607023973
184,92,2018,1.1149984106025828
185,93,2018,0.687870235297967
186,94,2018,0.7695149256065349
187,95,2018,0.4836756541261713
188,01,2020,0.24274715427427318
189,02,2020,0.13538079371087386
190,03,2020,0.11260083980453185
191,04,2020,0.15514347541460577
192,05,2020,0.1966790145146664
193,06,2020,1.2885420099670164
194,07,2020,0.08926212352465447
195,08,2020,0.10609097056671357
196,09,2020,0.04682842659736576
197,10,2020,0.2242073198790693
198,11,2020,0.20289399053881496
199,12,2020,0.1278272275846278
200,13,2020,0.5414138002170491
201,14,2020,0.2884803293203235
202,15,2020,0.12349183997564275
203,16,2020,0.07915657383719028
204,17,2020,0.174663516100578
205,18,2020,0.11024199897199516
206,19,2020,0.09338862269833165
207,21,2020,0.355248269233018
208,22,2020,0.09764731298991626
209,23,2020,0.04937211823527265
210,24,2020,0.06028490096045314
211,25,2020,0.26333154523534336
212,26,2020,0.15823375023747246
213,27,2020,0.12984361191258625
214,28,2020,0.10604012530904389
215,29,2020,0.14454502103587857
216,30,2020,0.2211305605292657
217,31,2020,0.5549240956270252
218,32,2020,0.06509423196282252
219,33,2020,0.3228986758386394
220,34,2020,0.46502580718746583
221,35,2020,0.2879898475658836
222,36,2020,0.10869165127202728
223,37,2020,0.2751615343730319
224,38,2020,0.2707204683364756
225,39,2020,0.13807581602975208
226,40,2020,0.17448909553113454
227,41,2020,0.11251359349230673
228,42,2020,0.24913695113695503
229,43,2020,0.07114880288384924
230,44,2020,0.33631332463321734
231,45,2020,0.23827997053713965
232,46,2020,0.04181786750951429
233,47,2020,0.07205113957899789
234,48,2020,0.08420113884209014
235,49,2020,0.19851995784867235
236,50,2020,0.09434614047331766
237,51,2020,0.30937906902449314
238,52,2020,0.10038830845013424
239,53,2020,0.11562288146992908
240,54,2020,0.24433125339962933
241,55,2020,0.07582141680215916
242,56,2020,0.1679756763062533
243,57,2020,0.08620361389527839
244,58,2020,0.11437021611127259
245,59,2020,0.22180657008848031
246,60,2020,0.20548433490422185
247,61,2020,0.08311869741974587
248,62,2020,0.10701800609294065
249,63,2020,0.22833014772786983
250,64,2020,0.3268293804130094
251,65,2020,0.2254407973011478
252,66,2020,0.3174919477078584
253,67,2020,0.01218864081931748
254,68,2020,0.1607496100413695
255,69,2020,0.780610436079016
256,70,2020,0.06735713890673325
257,71,2020,0.14005537132224666
258,72,2020,0.16843530355880088
259,73,2020,0.33774761124324915
260,74,2020,0.5027206722978682
261,75,2020,1.6802280861541146
262,76,2020,0.2936223845733709
263,77,2020,0.36461791062423327
264,78,2020,0.5317326739011193
265,79,2020,0.055025937033985096
266,80,2020,0.15079005421705538
267,81,2020,0.08963727210030466
268,82,2020,0.11746211427030108
269,83,2020,0.5707458740410837
270,84,2020,0.220984554907555
271,85,2020,0.11696746841543562
272,86,2020,0.14701698373204433
273,87,2020,0.22607356389135824
274,88,2020,0.10549591003803448
275,89,2020,0.1338939460839887
276,90,2020,0.18219049852205546
277,91,2020,0.44636239413466666
278,92,2020,1.1096279832331561
279,93,2020,0.7123644828158685
280,94,2020,0.7795908992041762
281,95,2020,0.4988782039864181
282,01,2021,0.24355179838878285
283,02,2021,0.13821612884827406
284,03,2021,0.11726009678144392
285,04,2021,0.13142342522548733
286,05,2021,0.17312233029694818
287,06,2021,1.2745427927408792
288,07,2021,0.08834328349133186
289,08,2021,0.10768397029751514
290,09,2021,0.04137003072029247
291,10,2021,0.23539453881093397
292,11,2021,0.19574763320185753
293,12,2021,0.12862892550748073
294,13,2021,0.5423402450112924
295,14,2021,0.2987337083829968
296,15,2021,0.12010215513214845
297,16,2021,0.07531927547217036
298,17,2021,0.1840505895267383
299,18,2021,0.11406957934705111
300,19,2021,0.0924499817638048
301,21,2021,0.36905687149923405
302,22,2021,0.09353964750305326
303,23,2021,0.05338439773559145
304,24,2021,0.061455647244277385
305,25,2021,0.2718420265477907
306,26,2021,0.15533324406463891
307,27,2021,0.12864365183669701
308,28,2021,0.11275134681734028
309,29,2021,0.14967081018822898
310,30,2021,0.21904437030608997
311,31,2021,0.5637787852068121
312,32,2021,0.05985977603805371
313,33,2021,0.32201322672935445
314,34,2021,0.468049300643143
315,35,2021,0.29037892242128865
316,36,2021,0.11071219369615205
317,37,2021,0.28814780284982133
318,38,2021,0.27110332634255346
319,39,2021,0.1406454012262882
320,40,2021,0.1743773765976856
321,41,2021,0.11729093132176514
322,42,2021,0.24904098725238144
323,43,2021,0.06770915765005853
324,44,2021,0.3456202944218122
325,45,2021,0.2443282819983097
326,46,2021,0.04130832885391358
327,47,2021,0.07072260309632283
328,48,2021,0.06605930598545104
329,49,2021,0.2055573269033044
330,50,2021,0.09084359181259459
331,51,2021,0.32178391611230445
332,52,2021,0.09974178332252717
333,53,2021,0.1172509984779275
334,54,2021,0.25079805545466793
335,55,2021,0.07458075761413371
336,56,2021,0.16741415351255284
337,57,2021,0.0889810826217355
